tf,family,q,hold_bars,n,mean_bp,pf,t,per_day,folds_pos,mean15_bp,adj_bp,pass_rel,pass_std
1m,F02_rev24|clock,0.999653,720,30,57.436724293649974,1.2707604067602631,0.48705842832190965,0.08264462809917356,3,47.43672429364997,68.18523590574773,False,False
1m,F02_rev24|clock,0.999306,720,53,-27.034103549508302,0.8852511753238932,-0.3346010756826864,0.14600550964187328,1,-37.03410354950829,-19.29455484018679,False,False
1m,F02_rev24|clock,0.998611,720,86,-18.901859742177642,0.9095829138244306,-0.3162313700169362,0.2369146005509642,2,-28.901859742177656,-12.692956108303266,False,False
1m,F02_rev24|clock,0.997222,720,135,31.898521465866175,1.1667971475059382,0.6772879459448047,0.371900826446281,3,21.898521465866164,40.74853247396787,False,False
1m,F03_mom4|bars,0.999653,6,147,-52.76943701243789,0.43621647219574783,-4.357853680615853,0.4049586776859504,0,-62.769437012437876,-52.82411224093186,False,False
1m,F03_mom4|bars,0.999306,6,275,-43.89867663815232,0.417210304591955,-5.547939778456925,0.7575757575757576,0,-53.89867663815229,-43.92806099423506,False,False
1m,F03_mom4|bars,0.998611,6,534,-35.2479554707261,0.4347447321427882,-6.480355236644189,1.4710743801652892,0,-45.24795547072608,-35.2753282018993,False,False
1m,F03_mom4|bars,0.997222,6,1015,-28.138928073700168,0.459652349955095,-7.6269692767591035,2.796143250688705,0,-38.13892807370016,-28.164209341389746,False,False
1m,F03_mom4|clock,0.999653,360,85,-49.30541282097712,0.7192685381742447,-1.0242374611489387,0.23415977961432508,2,-59.3054128209771,-52.77144681006058,False,False
1m,F03_mom4|clock,0.999306,360,152,-84.38136804471662,0.5402761140800167,-2.533386614278366,0.418732782369146,1,-94.38136804471661,-86.4799651805486,False,False
1m,F03_mom4|clock,0.998611,360,234,-57.3143939882552,0.65343160208238,-2.227656646578778,0.6446280991735537,2,-67.3143939882552,-59.39968230775591,False,False
1m,F03_mom4|clock,0.997222,360,366,-29.21234169259997,0.7881566899931817,-1.469091188338078,1.0082644628099173,1,-39.21234169259998,-30.195447047196097,False,False
1m,F04_rev1|bars,0.999653,4,255,-8.97790975030438,0.818198628670887,-1.0785595535578802,0.7024793388429752,1,-18.977909750304377,-8.961757742208244,False,False
1m,F04_rev1|bars,0.999306,4,496,-13.754208911584813,0.687960267012271,-2.3870350858217804,1.3663911845730028,2,-23.75420891158481,-13.742807609417873,False,False
1m,F04_rev1|bars,0.998611,4,941,-15.765929322052727,0.6013450040413596,-3.8845302957711274,2.5922865013774103,1,-25.76592932205272,-15.763376391468388,False,False
1m,F04_rev1|bars,0.997222,4,1752,-18.560549303720077,0.49714070090244283,-6.663011477394443,4.8264462809917354,0,-28.560549303720077,-18.555430631760263,False,False
1m,F04_rev1|clock,0.999653,240,163,-10.238775283671158,0.9218840678119379,-0.3701689499603303,0.4490358126721763,2,-20.238775283671156,-9.62504225816239,False,False
1m,F04_rev1|clock,0.999306,240,272,-15.726601364401013,0.8679077236950016,-0.7435281127774293,0.7493112947658402,3,-25.726601364401013,-14.36474670320045,False,False
1m,F04_rev1|clock,0.998611,240,419,7.468623588234456,1.0756773154286123,0.6203134135694027,1.1542699724517906,3,-2.5313764117655455,8.140007191826216,False,False
1m,F04_rev1|clock,0.997222,240,608,-15.12694769119058,0.8563553323562257,-1.5178692737697324,1.674931129476584,0,-25.126947691190573,-14.897909200247934,False,False
1m,F05_rsi_rev|bars,0.999653,12,203,16.46039311577823,1.53863454667902,1.9696032356367712,0.559228650137741,4,6.46039311577824,16.524948886404186,False,False
