fw,id,name,tr_n,tr_pf,tr_mean,tr_t,va_n,va_pf,va_mean,va_t,tr_pd,va_pd,std,rel,tr_only_rel
r6_orthogonal_alphas,1548,Flushout_RSI_var1548,2,999.0,623.3,1.12,0,0.0,0.0,0.0,0.007326007326007326,0.0,False,False,False
r6_orthogonal_alphas,1549,Flushout_RSI_var1549,2,999.0,623.3,1.12,0,0.0,0.0,0.0,0.007326007326007326,0.0,False,False,False
r6_orthogonal_alphas,1550,Flushout_RSI_var1550,2,999.0,623.3,1.12,0,0.0,0.0,0.0,0.007326007326007326,0.0,False,False,False
r6_orthogonal_alphas,1551,VAR24_Ext3_H8_SL5,98,0.53,-78.6,-2.3,48,0.44,-130.7,-1.9,0.358974358974359,0.5333333333333333,False,False,False
r6_orthogonal_alphas,1552,VAR24_Ext3_H8_SL7,95,0.45,-97.4,-2.5,46,0.36,-165.9,-1.95,0.34798534798534797,0.5111111111111111,False,False,False
r6_orthogonal_alphas,1553,VAR24_Ext3_H8_SL8,94,0.51,-85.4,-2.21,46,0.33,-183.3,-1.96,0.3443223443223443,0.5111111111111111,False,False,False
r6_orthogonal_alphas,1554,VAR24_Ext3_H12_SL5,91,0.52,-97.9,-2.51,44,0.42,-152.0,-1.87,0.3333333333333333,0.4888888888888889,False,False,False
r6_orthogonal_alphas,1555,VAR24_Ext3_H12_SL7,86,0.5,-113.2,-2.36,40,0.41,-161.1,-1.58,0.315018315018315,0.4444444444444444,False,False,False
r6_orthogonal_alphas,1556,VAR24_Ext3_H12_SL8,84,0.62,-80.7,-1.67,40,0.38,-186.1,-1.67,0.3076923076923077,0.4444444444444444,False,False,False
r6_orthogonal_alphas,1557,VAR24_Ext3_H18_SL5,86,0.59,-96.1,-2.11,44,0.53,-125.5,-1.37,0.315018315018315,0.4888888888888889,False,False,False
r6_orthogonal_alphas,1558,VAR24_Ext3_H18_SL7,80,0.53,-117.2,-2.14,38,0.65,-92.8,-0.88,0.29304029304029305,0.4222222222222222,False,False,False
r6_orthogonal_alphas,1559,VAR24_Ext3_H18_SL8,77,0.58,-106.8,-1.89,38,0.58,-121.8,-1.06,0.28205128205128205,0.4222222222222222,False,False,False
r6_orthogonal_alphas,1560,VAR24_Ext45_H8_SL5,41,0.49,-100.8,-1.82,25,0.77,-45.2,-0.46,0.15018315018315018,0.2777777777777778,False,False,False
r6_orthogonal_alphas,1561,VAR24_Ext45_H8_SL7,39,0.43,-109.4,-1.63,24,0.59,-99.5,-0.83,0.14285714285714285,0.26666666666666666,False,False,False
r6_orthogonal_alphas,1562,VAR24_Ext45_H8_SL8,38,0.67,-54.5,-0.83,24,0.55,-116.1,-0.91,0.1391941391941392,0.26666666666666666,False,False,False
r6_orthogonal_alphas,1563,VAR24_Ext45_H12_SL5,39,0.5,-108.6,-1.69,25,0.62,-92.9,-0.8,0.14285714285714285,0.2777777777777778,False,False,False
r6_orthogonal_alphas,1564,VAR24_Ext45_H12_SL7,37,0.6,-86.6,-0.93,22,0.73,-60.5,-0.45,0.13553113553113552,0.24444444444444444,False,False,False
r6_orthogonal_alphas,1565,VAR24_Ext45_H12_SL8,35,0.86,-28.7,-0.29,22,0.68,-78.7,-0.55,0.1282051282051282,0.24444444444444444,False,False,False
r6_orthogonal_alphas,1566,VAR24_Ext45_H18_SL5,37,0.67,-76.5,-1.0,25,0.72,-71.2,-0.56,0.13553113553113552,0.2777777777777778,False,False,False
r6_orthogonal_alphas,1567,VAR24_Ext45_H18_SL7,35,0.67,-83.1,-0.78,22,0.93,-15.0,-0.12,0.1282051282051282,0.24444444444444444,False,False,False
r6_orthogonal_alphas,1568,VAR24_Ext45_H18_SL8,34,0.95,-11.9,-0.11,22,0.85,-37.8,-0.27,0.12454212454212454,0.24444444444444444,False,False,False
r6_orthogonal_alphas,1569,VAR12_FastFlow_H8_SL5,171,0.81,-25.3,-1.06,51,0.58,-79.5,-1.62,0.6263736263736264,0.5666666666666667,False,False,False
r6_orthogonal_alphas,1570,VAR12_FastFlow_H8_SL7,171,0.8,-27.2,-1.01,51,0.57,-78.1,-1.6,0.6263736263736264,0.5666666666666667,False,False,False
r6_orthogonal_alphas,1571,VAR12_FastFlow_H8_SL8,170,0.88,-15.3,-0.56,51,0.56,-80.7,-1.63,0.6227106227106227,0.5666666666666667,False,False,False
